Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
6/1/24,9/2/24,186,6/2/24,178.75,185.75,548,65455565,11933616195,9/2/24,4
5/1/24,29/01/2024,182.25,2/2/24,178.25,178.25,558,1952132,352003209,2/2/24,5
4/1/24,22/01/2024,184,24/01/2024,178,181.5,643,3084455,556265709,26-01-2024,4
3/1/24,16/01/2024,187.75,19/01/2024,183.5,183.5,327,1151580,212627250.5,19-01-2024,4
2/1/24,9/1/24,190,12/1/24,185,186,492,2148689,401153961.8,12/1/24,5
1/1/24,3/1/24,191.5,30/12/2024,22.3,22.6,2240,42330570,1098096692,31-12-2024,6
2023-52,29/12/2023,192,27/12/2023,187.5,191,234,641481,122530470,29-12-2023,3
2023-51,19/12/2023,192.75,20/12/2023,187.5,189,459,681896,129548712,22-12-2023,5
2023-50,15/12/2023,193,11/12/23,190,191.5,414,938412,180500181.5,15-12-2023,5
2023-49,6/12/23,193.25,8/12/23,189.25,190,553,1749794,336903455.8,8/12/23,5
2023-48,1/12/23,193,28/11/2023,186,192.25,597,5057106,964213439,1/12/23,5
2023-47,20/11/2023,192.25,24/11/2023,186.5,188,384,902478,170104000.3,24-11-2023,5
2023-46,13/11/2023,197,16/11/2023,189.25,189.5,517,1432105,275132783.3,17-11-2023,5
2023-45,10/11/23,198,7/11/23,192.5,197,1204,12771232,2485634275,10/11/23,5
2023-44,3/11/23,193,30/10/2023,191.75,192.75,754,3258675,627021896.5,3/11/23,5
2023-43,25/10/2023,194,26/10/2023,191,192.5,1042,4005730,769647955.8,27-10-2023,5
2023-42,16/10/2023,194.25,19/10/2023,189.25,191.25,659,4563525,876884238.3,20-10-2023,5
2023-41,13/10/2023,193.75,9/10/23,187,193,754,3503225,666687779.5,13-10-2023,5
2023-40,2/10/23,192.25,4/10/23,186.25,190.5,768,4329806,824232030.5,6/10/23,5
2023-39,27/09/2023,194.5,25/09/2023,189.5,192.75,742,3413445,655330477.3,27-09-2023,3
2023-38,18/09/2023,191,20/09/2023,185,190,753,1829382,342877330.8,22-09-2023,5
2023-37,14/09/2023,191.5,12/9/23,187.25,190,643,2224044,421412361.8,15-09-2023,5
2023-36,6/9/23,191.75,4/9/23,180.5,187.5,1207,9841599,1812457410,8/9/23,5
2023-35,28/08/2023,183,1/9/23,177.25,178.75,716,3446467,622150375,1/9/23,4
2023-34,21/08/2023,193,25/08/2023,182,182.5,985,4682346,880200583,25-08-2023,5
2023-33,17/08/2023,196,14/08/2023,179.5,189.75,2635,12224996,2257212019,18-08-2023,5
2023-32,8/8/23,200,7/8/23,185,191,3461,7294117,1420282524,11/8/23,5
2023-31,4/8/23,185,31/07/2023,166.75,184.25,2446,15046818,2642690996,4/8/23,4
2023-30,28/07/2023,169.5,26/07/2023,155,167,1622,8622635,1402545162,28-07-2023,5
2023-29,21/07/2023,159,19/07/2023,157.25,158.5,671,2725346,432372582,21-07-2023,5
2023-28,13/07/2023,159.5,10/7/23,155.5,156.75,776,3149396,498340167.5,14-07-2023,5
2023-27,5/7/23,161,4/7/23,150,155,1145,9830799,1534532558,7/7/23,4
2023-26,27/06/2023,150.75,26/06/2023,146,150,857,6790802,1015535911,28-06-2023,3
2023-25,23/06/2023,145.5,19/06/2023,140.75,145.25,491,3450450,494222715.8,23-06-2023,5
2023-24,16/06/2023,142,12/6/23,140,141.25,469,5548947,785458410.8,16-06-2023,5
2023-23,9/6/23,140.5,8/6/23,138,140,424,10148213,1420231282,9/6/23,5
2023-22,2/6/23,139,30/05/2023,135,138.5,280,6181338,850849242.5,2/6/23,5
2023-21,26/05/2023,140,22/05/2023,135.5,136.5,254,3913290,546600237.3,26-05-2023,5
2023-20,16/05/2023,140.5,19/05/2023,135.25,135.75,498,2959314,408140316.3,19-05-2023,5
2023-19,11/5/23,139,8/5/23,136.75,138.5,272,305018,42150074,12/5/23,5
2023-18,2/5/23,138.5,3/5/23,135,136.75,289,1145267,155471039,4/5/23,3
2023-17,24/04/2023,139.25,27/04/2023,136.25,138,427,1601326,221819467.8,28-04-2023,5
2023-16,17/04/2023,139.5,18/04/2023,134.75,138.5,882,3508000,476344034.8,21-04-2023,5
2023-15,10/4/23,140.25,12/4/23,137.25,137.5,442,1334923,183843261.8,12/4/23,3
2023-14,6/4/23,140,6/4/23,138.25,138.75,230,463093,64384321.5,6/4/23,3
2023-13,27/03/2023,144.75,30/03/2023,139,140,342,2431536,340990525.8,31-03-2023,5
12/1/23,21/03/2023,146,24/03/2023,143,144,469,1458212,211030815.8,24-03-2023,5
11/1/23,16/03/2023,145,15/03/2023,140,144,610,4070034,581607632.3,17-03-2023,5
10/1/23,10/3/23,143,7/3/23,139,142,863,5180839,729950764.3,10/3/23,4
9/1/23,3/3/23,139.75,28/02/2023,134.5,139,760,2946137,402060029.3,3/3/23,5
8/1/23,24/02/2023,142,22/02/2023,137,138.5,861,8808766,1213634606,24-02-2023,5
7/1/23,13/02/2023,143.75,17/02/2023,139,139.5,543,4925430,691691212.3,17-02-2023,5
6/1/23,7/2/23,146,10/2/23,143.25,143.75,834,13228532,1919102336,10/2/23,5
5/1/23,3/2/23,145,30/01/2023,136.5,144.75,620,10894697,1558235685,3/2/23,5
4/1/23,23/01/2023,140.5,27/01/2023,137,139.25,413,1408590,194547966,27-01-2023,5
3/1/23,20/01/2023,139.25,20/01/2023,136,137.5,338,2378381,325684693.5,20-01-2023,4
2/1/23,9/1/23,138,10/1/23,135.25,136.75,247,929753,126353375.3,13-01-2023,5
1/1/23,3/1/23,139.75,2/1/23,135,138,344,3082352,422088435.5,5/1/23,4
2022-52,27/12/2022,138.75,30/12/2022,135,135.25,386,1392250,188476295,30-12-2022,4
2022-51,19/12/2022,142,23/12/2022,135.5,137.75,434,3334304,464372614.5,23-12-2022,5
2022-50,12/12/22,147,16/12/2022,140,140.75,543,1363999,193615499.5,16-12-2022,5
2022-49,8/12/22,150,5/12/22,140.75,147,980,5320755,781810037,9/12/22,4
2022-48,2/12/22,141,28/11/2022,138.5,140,544,2189996,306503438.5,2/12/22,5
2022-47,23/11/2022,141,21/11/2022,136.25,140,490,3187514,440857533,25-11-2022,5
2022-46,15/11/2022,142.5,18/11/2022,137,137.5,1007,2263997,316811645.3,18-11-2022,5
2022-45,10/11/22,141,8/11/22,129,138.75,1042,5489152,756566138.8,11/11/22,4
2022-44,31/10/2022,134,4/11/22,129,129,331,973774,127694088,4/11/22,5
2022-43,28/10/2022,135,25/10/2022,129,134,499,5754337,750779101,28-10-2022,4
2022-42,17/10/2022,133,21/10/2022,128.75,129,612,2130661,277017566.8,21-10-2022,5
2022-41,11/10/22,133,12/10/22,127.5,131.75,850,8294139,1074383749,14-10-2022,4
2022-40,3/10/22,138,7/10/22,128,129,1374,3629230,473374599.3,7/10/22,5
2022-39,26/09/2022,143,29/09/2022,136,137.25,887,3185838,443280680,30-09-2022,5
2022-38,20/09/2022,147,19/09/2022,141.75,142.75,1376,3519738,504861092.8,23-09-2022,5
2022-37,15/09/2022,157,12/9/22,132,147,3679,7915396,1152382885,16-09-2022,5
2022-36,9/9/22,132,6/9/22,124.25,130.5,1015,5090282,650186077.8,9/9/22,5
2022-35,31/08/2022,130,30/08/2022,122.5,128.25,574,1305698,166250351.8,2/9/22,5
2022-34,22/08/2022,128,26/08/2022,121,124,1059,14668139,1832326293,26-08-2022,5
2022-33,15/08/2022,133,18/08/2022,127.25,127.75,987,3801186,489468834.3,19-08-2022,5
2022-32,12/8/22,128.25,8/8/22,118.5,126.5,1413,8545076,1041086523,12/8/22,4
2022-31,1/8/22,122,5/8/22,118.75,119,1654,6751363,806938525.5,5/8/22,5
2022-30,29/07/2022,122,25/07/2022,118.75,120.5,704,986155,118494653.3,29-07-2022,6
2022-29,18/07/2022,124,22/07/2022,120,120.25,912,4309105,521579122,22-07-2022,5
2022-28,12/7/22,124,15/07/2022,121.5,122,324,1515400,184518658.3,15-07-2022,4
2022-27,4/7/22,125,6/7/22,120.25,122.25,394,2004585,245394505.3,8/7/22,5
2022-26,1/7/22,124,1/7/22,121.75,122.25,248,1695363,207211363.3,1/7/22,5
2022-25,23/06/2022,125.5,21/06/2022,120,122.25,407,1253657,152683972,24-06-2022,5
2022-24,13/06/2022,126,17/06/2022,121,121,350,1123002,139160536,17-06-2022,4
2022-23,7/6/22,127,7/6/22,122.5,124.75,348,1723573,214116873,10/6/22,5
2022-22,2/6/22,129.75,1/6/22,122,125.25,460,1250954,155172740.3,3/6/22,5
2022-21,24/05/2022,138,27/05/2022,125,125.5,707,1477815,192301408.5,27-05-2022,5
2022-20,18/05/2022,138.5,17/05/2022,131,132.25,322,566424,76358841.5,20-05-2022,4
2022-19,13/05/2022,140,9/5/22,120,127.5,415,577031,72738514,13-05-2022,3
2022-18,5/5/22,129.75,4/5/22,121.75,124,221,915066,117283212.3,6/5/22,3
2022-17,29/04/2022,135,27/04/2022,116.25,123,842,1201655,144916976.3,29-04-2022,5
2022-14,5/4/22,150,4/4/22,135,140.25,460,2064359,297329628.5,8/4/22,5
2022-13,1/4/22,170,1/4/22,123.75,149,732,2339196,351138343,1/4/22,5
12/1/22,25/03/2022,158,21/03/2022,153,157,917,6005068,942774908.5,25-03-2022,5
11/1/22,18/03/2022,158,15/03/2022,145,156.5,730,737459,111199250.5,18-03-2022,4
10/1/22,11/3/22,151,10/3/22,140.25,149.25,1123,2931504,423721994.5,11/3/22,5
9/1/22,2/3/22,149.5,4/3/22,145,145.75,738,2374204,345882640.5,4/3/22,4
8/1/22,21/02/2022,156,25/02/2022,143,147,1297,1697288,251602320.5,25-02-2022,5
7/1/22,15/02/2022,161.75,18/02/2022,155,155.25,444,812252,127505648.3,18-02-2022,4
6/1/22,7/2/22,159.75,10/2/22,152,157,993,5221630,816019737.8,11/2/22,5
5/1/22,1/2/22,161,3/2/22,155,158,742,1593617,254299164.3,3/2/22,4
4/1/22,27/01/2022,164.75,28/01/2022,157.5,159.5,1568,82195177,13233772645,28-01-2022,5
3/1/22,18/01/2022,167.5,21/01/2022,159,161,1139,2077925,336180318.3,21-01-2022,4
2/1/22,13/01/2022,166.75,11/1/22,152.5,163.25,1441,2343420,372737528,13-01-2022,4
1/1/22,7/1/22,158.25,5/1/22,147,155.5,1546,6336888,964645992.3,7/1/22,5
2021-52,28/12/2021,151.75,31/12/2021,149.5,150,659,857622,129055396.5,31-12-2021,5
2021-51,24/12/2021,153,20/12/2021,144.5,150.5,1171,1698780,253304343.3,24-12-2021,5
2021-50,17/12/2021,147.5,15/12/2021,141.5,146.5,1306,3778460,542346750.8,17-12-2021,5
