Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2016-31,3/8/16,294,1/8/16,240,264.3,766,1613198,436885018,5/8/16,5
2016-30,28/07/2016,246,27/07/2016,235,240.1,202,516116,123183044.4,29-07-2016,5
2016-29,22/07/2016,235.7,18/07/2016,218,234.9,252,285349,65645987.1,22-07-2016,4
2016-28,13/07/2016,217,11/7/16,210,216,25,280642,60605851.8,15-07-2016,4
2016-27,4/7/16,212.7,4/7/16,208,210.5,54,33704,7073304.8,8/7/16,4
2016-26,1/7/16,214,29/06/2016,205,207.1,56,119516,24935748.9,1/7/16,5
2016-25,21/06/2016,210.1,20/06/2016,206.5,209,59,1259228,263431296.6,24-06-2016,5
2016-24,13/06/2016,214,17/06/2016,206,207.2,60,15013,3115788.7,17-06-2016,5
2016-23,6/6/16,216,10/6/16,213,213,54,33176,7096629,10/6/16,5
2016-22,1/6/16,219,2/6/16,212,216,163,1069096,231697492.7,3/6/16,5
2016-21,25/05/2016,218,26/05/2016,215.5,217.5,22,13761,2969970.4,27-05-2016,4
2016-20,19/05/2016,220,17/05/2016,215,216,107,1067619,229650904.3,20-05-2016,5
2016-19,13/05/2016,222,11/5/16,214.9,215.5,132,1018980,219140848.8,13-05-2016,5
2016-18,4/5/16,225,6/5/16,215,215.1,110,1621260,350121275.7,6/5/16,4
2016-17,29/04/2016,225,26/04/2016,214.5,216.1,111,1451561,310740169.7,29-04-2016,5
2016-16,18/04/2016,216.9,19/04/2016,214,214.8,84,37203,7998911.4,22-04-2016,4
2016-15,11/4/16,218,15/04/2016,215,215,25,4604,998047,15-04-2016,3
2016-14,8/4/16,217,6/4/16,210,216.2,115,599055,127045970,8/4/16,5
2016-13,1/4/16,210.1,30/03/2016,205,210,50,23808,4977724.6,1/4/16,4
12/1/16,23/03/2016,211.9,23/03/2016,208,210.9,16,101553,21527317.6,24-03-2016,3
11/1/16,17/03/2016,210.9,17/03/2016,205.1,206.1,55,662523,144792327,18-03-2016,5
10/1/16,8/3/16,214.1,9/3/16,209,210,25,15199,3183479.1,11/3/16,4
9/1/16,3/3/16,220,3/3/16,214,215,44,58300,12786311.7,4/3/16,5
8/1/16,25/02/2016,218,23/02/2016,213.1,215,19,3339,717982.1,26-02-2016,4
7/1/16,18/02/2016,219,17/02/2016,210.1,212.5,39,62864,13474182.3,19-02-2016,5
6/1/16,9/2/16,220,9/2/16,215,215.8,54,509316,109515307,12/2/16,5
5/1/16,2/2/16,227,2/2/16,217.9,221,26,5387,1204974,5/2/16,4
