Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2023-23,8/6/23,10.5,6/6/23,10.1,10.3,186,1267469,13001609.3,9/6/23,5
2023-22,2/6/23,10.3,30/05/2023,9.8,10.2,339,9151530,93294309.5,2/6/23,5
2023-21,26/05/2023,10.2,23/05/2023,9.7,10.1,198,4072441,39991978.2,26-05-2023,5
2023-20,15/05/2023,10.5,15/05/2023,9.5,9.8,480,4077507,40193459.1,19-05-2023,5
2023-19,9/5/23,11.1,12/5/23,10.5,10.5,563,14319904,154392685.3,12/5/23,5
2023-18,3/5/23,11.3,2/5/23,10.8,11,613,4968705,54694607.2,4/5/23,3
2023-17,28/04/2023,11.1,25/04/2023,10.7,11,829,25783710,283536111.2,28-04-2023,5
2023-16,21/04/2023,11,17/04/2023,10.3,10.9,794,39079236,419269362.6,21-04-2023,5
2023-15,11/4/23,10.9,12/4/23,10.2,10.4,184,3672014,38186352.6,12/4/23,3
2023-14,4/4/23,10.6,6/4/23,10.4,10.5,91,3799202,39849731.3,6/4/23,3
2023-13,31/03/2023,10.6,30/03/2023,10.3,10.4,321,9453631,99094794.8,31-03-2023,5
12/1/23,20/03/2023,10.7,22/03/2023,10.1,10.5,409,6032151,63383488.6,24-03-2023,5
11/1/23,16/03/2023,10.7,14/03/2023,10.1,10.5,471,19741716,207579638.1,17-03-2023,5
10/1/23,8/3/23,11.1,7/3/23,9.2,10.5,1250,19979881,210042754.3,10/3/23,4
9/1/23,3/3/23,9.2,3/3/23,8.8,9.1,233,2016531,18038937.9,3/3/23,5
8/1/23,22/02/2023,9,21/02/2023,8.6,8.8,410,4668346,40628583.5,24-02-2023,5
7/1/23,13/02/2023,9.4,17/02/2023,8.7,8.7,473,912466,8078373,17-02-2023,5
6/1/23,8/2/23,10,9/2/23,9.4,9.6,334,7523187,74982393.4,10/2/23,5
5/1/23,3/2/23,10.1,31/01/2023,9.3,10,510,18123707,178883959.9,3/2/23,5
4/1/23,27/01/2023,9.4,27/01/2023,9.1,9.3,239,1803510,16675181.1,27-01-2023,5
3/1/23,20/01/2023,9.3,18/01/2023,9,9.2,225,2231129,20439282.2,20-01-2023,4
2/1/23,13/01/2023,9.2,9/1/23,8.6,9.1,496,5277815,47537702.4,13-01-2023,5
1/1/23,5/1/23,8.7,4/1/23,8.4,8.6,285,1167880,9938740.9,5/1/23,4
2022-52,28/12/2022,8.7,30/12/2022,8.4,8.5,217,1162757,9980408.9,30-12-2022,4
2022-51,19/12/2022,8.9,22/12/2022,8.5,8.6,264,1900658,16475646.2,23-12-2022,5
2022-50,12/12/22,9,12/12/22,8.5,8.6,297,1250184,10738325.9,16-12-2022,5
2022-49,6/12/22,9.8,9/12/22,8.5,8.9,651,19063702,185287999.6,9/12/22,4
2022-48,2/12/22,9.3,30/11/2022,8.5,9.2,580,6008544,53964099.6,2/12/22,5
2022-47,24/11/2022,8.6,22/11/2022,8.2,8.4,400,5997408,50830156.7,25-11-2022,5
2022-46,17/11/2022,8.6,18/11/2022,8.2,8.2,492,13926394,118120634.1,18-11-2022,5
2022-45,10/11/22,8.5,11/11/22,8.2,8.3,325,1401056,11693776.1,11/11/22,4
2022-44,4/11/22,8.4,4/11/22,8.2,8.3,296,1628862,13567096.7,4/11/22,5
2022-43,27/10/2022,8.4,25/10/2022,7.9,8.2,291,3326233,27169322.3,28-10-2022,4
2022-42,17/10/2022,8.4,21/10/2022,7.9,8,562,1678155,13599950.4,21-10-2022,5
2022-41,11/10/22,8.5,12/10/22,7.9,8.3,552,1330299,10814646.9,14-10-2022,4
2022-40,3/10/22,8.9,7/10/22,8.3,8.4,465,967261,8260906.4,7/10/22,5
2022-39,26/09/2022,9,30/09/2022,8.5,8.6,537,12680858,111833763.9,30-09-2022,5
2022-38,20/09/2022,9,22/09/2022,8.6,8.8,440,1648589,14466754.1,23-09-2022,5
2022-37,16/09/2022,8.9,14/09/2022,8.6,8.8,478,4387954,38550302.1,16-09-2022,5
2022-36,5/9/22,9.2,8/9/22,8.6,8.8,1034,8657528,77129671.1,9/9/22,5
2022-35,2/9/22,8.8,31/08/2022,8.1,8.5,729,2724512,22787713.7,2/9/22,5
2022-34,22/08/2022,8.7,25/08/2022,8.1,8.4,972,4692391,38922141.8,26-08-2022,5
